Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Please give yourself a random nickname:,Which category below includes your age?,What is your gender?,,"What is your current religion or belief, if any?",How many shamanic journeys have you had before?,How often do you meditate?,,Are you going to use headphones for the listening part?,Have you used any mood altering substances including caffeine or alcohol in the last few hours?,,How focused do you feel now?,Choose a number from the circle below to indicate how you feel:,How focused do you feel now?,Choose a number from the circle below to indicate how you feel:,Did you receive any clarification on your question?,"How easy was it to focus on the most repetitive, monotone rhythms?",In which part of the soundscape were you the most focused?,Did you have visual imagery?,Please describe your experience in words:
11209723946,250190426,12/10/2019 08:55:16 AM,12/10/2019 11:07:34 AM,,,,,,PukiMuki,4,1,,Spiritual - not religious,3,1,"I use 2 or 3 audio guided meditations every morning, for gratitude, positive & productive day (20-30mins in total). In the evening I often use a guided visualisation (15mins). I listen to over 1 hour of Heart Chakra Opening Vibrations (fairly often) & try others from time to time depending on what's happening in life such as 'Releasing the inner critic', 'Chakra balance' or 'Open heart meditation'. Also listening to talks & affirmation audios. I use dance & art regularly which are like meditations too. I often meditate on & write a 'Clarty of intention' list of my main focuses for a time, usually during a full moon. ",1,2,,71,13,60,10,1,47,3,2,"I was a little tired but focused enough when I started so found myself dozing a couple of times.   I forgot to focus on a beat/rhythm so I had to repeat it, but I did find a better question I wanted clarity on.   I dozed again in the second time but managed to bring back focus to the rhythm I was following quite easily.   I was very focused at both the start & lead up to the ending.  I got a suggestion for a solution/practice (to my question) through thought rather than visual (although I did get a quick flash of an image of a routine plan but not with clarity, more a suggestion that came along with the thought.), so I'll be starting on that today.  It was very relaxing, I do love drumming so it didn't annoy me at all.   I'm possibly sleepier now, but being hungry or not having had tea yet is likely part of that.  I quite enjoyed it & would like to try it again at different times of day.   I'd probably also use it if I was struggling to sleep or wanted to dream."
11208015178,250606634,12/09/2019 06:57:08 PM,12/09/2019 07:45:49 PM,,,,,,Regina,7,1,,Shamanic,5,1,"In silence, on nature, with music, with mantras",1,2,,70,10,85,16,1,20,11,1,"I wanted my ancestors to talk to me or give me a message. They told me to run to dance. Dancing would give me visions and answers. In my life, I did what I had to do. I felt that my heart was trying to soften, less wary. Sometimes sounds would arise from me, even anger. In the end, I seemed to be on a wave, had even become a rising wave."
11205469940,250190659,12/08/2019 11:31:07 PM,12/09/2019 12:19:25 AM,,,,,,Stasha,3,1,,no religion,3,3,"body relaxation , 20 minute sitting meditation focus on breathing or processing emotions , events",2,2,,76,8,83,7,1,90,10,1,"By following the rhythm my body began relaxin and opening. I have had some difficulties with relaxing the muscles around my eyes. My jaw relaxed very easily. I don't recall hearing or noticing the  changes in levels until I reached level 7 when I have had an experience of deep focus and an experience of entering myself . Some images appeared and related to shelves full of books, papers with written words and a tree. After that many times the image of a tree appeared returned along with many faces of women, some of my relatives , friends, women I don't know and then a tree again. At the end I had an image a silhouette of woman dancing to the rhythm like in trans.   With getting down with levels my body relaxed more and focus return to noticing myself and my body in this process."
11198144571,250190426,12/05/2019 12:53:33 PM,12/05/2019 01:30:28 PM,,,,,,Daliah,4,1,,None,1,3,"Trying out this and that, havent found ""my"" technique yet",1,2,,70,13,75,8,2,40,4,2,"The rhythm helped to come back to the focus when thoughts were coming to the mind. I felt warm and welcome in this mindspace, i didnt have to push myself to stay there, i simply returned there when the mind was wandering off. Thoughts regarding my question plopped up, they might help to find the answer. "
11194273195,250606634,12/04/2019 07:24:06 AM,12/04/2019 08:19:00 AM,,,,,,Lakshmi06,5,1,,Hinduism,2,1,my meditation sessions usually start by focusing on the breath or a mantra or after chanting,1,2,,67,6,41,2,2,28,11,2,"The drumming was very strong, especially in the belly and the heart region. It still feels like all cells are shaking.   The announcements of the different levels were a bit irritating, they attracted the mind to grasp them.    Personally I had problems to let go completely. I realized that I have a mistrust towards experiences coming via the Internet. Also using the headphones created a physical discomfort around the head.   Whenever I managed to make abstraction of these two discomforts there was just the sound.   Thank you...:-)  "
11192027723,250190659,12/03/2019 03:54:36 PM,12/03/2019 04:16:30 PM,,,,,,Tattooedjonny ,7,2,,Non traditional shamanic practitioner ,5,1,Mostly journey rather than meditate but sometimes meditate for relaxation ,1,2,,77,14,80,10,1,25,0,1,"In the beginning there was a lot of REM activity.  I began to feel myself floating and eventually realized I was gently floating in space.  It felt expansive.  There was an obvious change to the beat at one point and this changed my point of reference to my experience.  Still floating in space but my focus was now on the area directly around me and in front of me.  I could “see” way out in front of me.  My sense of movement also shifted to moving forward at a faster pace.  I noticed the REM seemed to have calmed down, but exactly at what point I can’t say.  I had the “image” of a broken skeleton appear.  When asked about this I was told it was me.  When asked for clarification I was told because I had been sick for several days with the flu that I needed to rebuild my energy body.  Made sense to me at the time.  This all took me to about 18 minute point where I felt I had gotten everything I was going to get and came back.  I just want to add because of the changing patterns of the drumming I don’t think this would not work for me as a sonic driver for shamanic journeys.  As a aid in meditation it was interesting, although I usually meditate in silence.   Hope this helps you.  "
11191422606,250606634,12/03/2019 11:52:56 AM,12/03/2019 01:17:43 PM,,,,,,Smithers,5,1,,Oneness,3,1,"I use mindfulness of breathing, general mindfulness throughout my day, moving/dance meditation, bineural beats, visualisations",1,2,,77,13,83,14,2,14,11,2,"I liked the rhythm, it kept the mind focused. I felt relaxed and alert during."
11189228015,250338752,12/02/2019 07:15:07 PM,12/02/2019 07:40:04 PM,,,,,,Elsa,2,1,,None,1,4,,1,2,,41,5,50,6,2,60,2,2,Nearly fall asleep 
11188572962,250606634,12/02/2019 04:09:58 PM,12/02/2019 04:38:37 PM,,,,,,Kalou,5,1,,Raja Yoga,5,1,traditionnal hindouism,1,2,,86,16,95,16,1,0,9,1,"I am well used to this kind of music for I am a Shamanic practitioner as well.    The rhythm is interesting , a mix I guess with traditionnal drumming and multi dimensional music.    I think you could do better, the voice saying the level could be changed, and the transe induced is too shallow.    Thank you for your research    "
11186587403,250190426,12/01/2019 08:36:48 PM,12/01/2019 09:12:32 PM,,,,,,Hayabusa ,4,2,,Pantheism,5,1,"Evenings, often with music. Preferably 432 Hz. Sometimes alone in nature. Other times with entheogens. ",1,1,Two cups of black tea early this morning ,70,10,90,7,1,10,13,1,"I do not have the capability to make a drawing at the moment, but my visuals can best be described as squiggly horizontal white lines as well as occasional mandala patterns. "
11186367006,250190659,12/01/2019 04:41:41 PM,12/01/2019 05:43:52 PM,,,,,,Gumpze,3,2,,"Non Religious, but tend to agree more with western philosophy around consciousness.   ",1,1,Some Wim Hoff style breathing in the morning (laid flat) followed by transcendental sat upright in armchair.  ,1,2,Coffee 4 hours ago. ,90,7,90,7,2,0,5,2,"Maybe i’m too close to it somehow, a great piece of drumming all throughout and rather distracted me from having a journey as such, instead it made me think a lot about the rhythms and how they are reminiscent of the early kraftwerk/Organisation stuff which again I'm all too close to because of how i’m also playing these same kind of things in my music. One thing ive been thinking about very recently is Norman R Bergrun’s book: The Ringmakers of Saturn but again found little room to think about these things. "
11184558752,250606634,11/30/2019 06:21:47 AM,11/30/2019 07:18:34 AM,,,,,,Aruna,5,2,,"non-duality, buddhism",2,1,,2,2,,75,14,98,17,1,5,13,1,"Here is the description of my visualisation :  I wa climbing a very big mountain for a long time, then many other people joined to climb the mountain ; after a long time, we arrived on a plateau where there wa already a lot of animals and other people. We sat together around a fire, then listning the drums we dance for a while. We sat once again around the fire and then it was like an union of all our consciousness, a dissolution of our bodies to become just one consciousness.     For all the final part it was only clear consciousness without new visualisation."
11184016681,250190659,11/29/2019 07:13:43 PM,11/29/2019 09:07:43 PM,,,,,,Calabash,3,1,,none,2,3,in class,1,2,,60,13,80,6,1,50,0,2,"It was fantastic. I did exactly according to the requirement( I lay down with a my headset in a very quiet environment ) . However, I fell asleep and I slept for 2 hours. That's true meditation, in my  superficial understanding."
11183877644,250190659,11/29/2019 07:13:16 PM,11/29/2019 07:27:03 PM,,,,,,zooka,3,1,,Buddhism,1,1,Guide words from people recorded,1,2,,99,13,98,14,1,14,3,1,I felt that I ride a camel in the desert with a group of camels and some people to some mysterious kingdom.
11179252298,250190659,11/27/2019 07:26:14 PM,11/27/2019 08:14:13 PM,,,,,,Marcy,4,1,,none,1,1, practicing a guided meditation either Metta or Vipassanā ,1,2,,66,13,40,9,1,65,4,1,"Beautiful music, very scenic and lively. Certainly felt accompanied at some level. The beat blended with the imagery so at times I wasn't following the monotone part as consciously but had a feeling I'm locked in a rhythm just fine. Hence allowed myself to just be and my mind wandered. Because my question was tied around the particular location, a flashing image of the sun above the water with a permanent black eye in the middle kept on flashing up, Its present somewhat latched onto the sound of the drums continuously, which followed by its decline as the drums appeared to change the rhythm. Interesting :)"
11178167430,250190659,11/26/2019 10:25:38 AM,11/27/2019 01:03:31 PM,,,,,,nisse,5,2,,none,1,2,"sitting, focus on breathing",1,1,caffeine,80,13,80,13,2,21,10,2,the journey was very pleasant. nice form and easy to get 'into' the rhythm. though afterwards i didn't feel much difference. about as calm as before.
11175448669,250190426,11/26/2019 02:49:19 PM,11/26/2019 03:45:33 PM,,,,,,Fnatic ,4,2,,Atheist ,1,4,,1,2,,64,10,80,13,2,46,11,2,At beginning my mind is like a thunderstorm. Not sure I was doing it right. Until lvl 12  I was more focused on my heart beats later I started to be more relaxed and enjoyed the trip. Great sounds and your voice is very calm. 
11175075605,250190426,11/26/2019 12:55:54 PM,11/26/2019 01:38:34 PM,,,,,,Thunder,5,2,,"Agnostic, belief in non-human intelligence",5,1,"breathwork, sound journeys, sacred medicines - ""drug"" induced trance, mindfulness - focus on breath",1,1,coffee,87,10,56,16,2,28,10,2,"I entered with quite some focus, found the beat and had a moment of calmness, thoughts reduced, then I became drowsy. At one point I had some little inner light patterns going on, but very brief.   I ""woke up"" - became less drowsy and even opened my eyes, just a tad before your level 1 and 0 words... I felt heavy and calmy sedated for a moment. Now I feel relaxed. "
11173797893,250190426,11/25/2019 11:15:57 PM,11/26/2019 01:46:20 AM,,,,,,Agape,5,2,,Pagan,5,1,"I do traditional Neigong practices as well as Metta ,and Mindfulness style meditations",1,2,,50,12,50,5,2,79,8,2,"I felt an almost immediate shift into a light altered state. I tried to work with the state, but found the music to be too jarring/busy to work with.   I also found myself finding the music to be unsettling/uncomfortable to sit with"
11169896000,250190426,11/24/2019 03:47:48 PM,11/24/2019 03:58:18 PM,,,,,,ha,3,1,,Christian,1,3,,1,2,,85,10,50,13,1,60,8,2,It was very interesting.  Thank you.   I'm very grateful for sharing it with me.
11169785941,250190426,11/24/2019 02:00:26 PM,11/24/2019 02:14:03 PM,,,,,,Tjofrasse,4,2,,Kind of pantheist,1,4,,2,1,"Coffe, cannabis",68,13,20,3,2,20,1,1,"I was a little tired and stoned, and the room was warm from the fire. I was listening to the rythm and thinking that it has an effect on me. I am not sure how it happened but I must have dozed off. I was inbetween sleeping and awake for a while. I remember seeing very clearly trees without leaves against the sky on a grey autumn day. Much like today. At first I didn’t know if what I saw was real but then I remembered where I was and that my eyes were closed. After I enjoyed the rythm for a while and the journey was over.  Will go again sober and rested some other day."
11168266202,250190426,11/23/2019 10:08:54 AM,11/23/2019 10:58:40 AM,,,,,,Magus,4,2,,Christian ,1,4,,2,1,"Coffee, thc",54,4,68,13,1,28,10,1,My anxiety is on a fluctuating graph pumping in my head and the sound beats my anxiety with a stick to straighten them out so it does not have the same dispersion but rather in one line. State of mind is a little bit better as the feelings easy up around half way through the journey. 
11168122541,250190426,11/23/2019 07:40:52 AM,11/23/2019 08:13:42 AM,,,,,,eds,3,2,,muslim,1,1,mindfulness,1,2,,79,17,83,16,2,90,14,2,"it's a bit weird at the begining because you pick up so many sounds from a different directions, and you got distracted by that. But as the beat slows down I can feel calmer and calmer"
11167130889,250190426,11/22/2019 08:06:54 AM,11/22/2019 08:50:11 PM,,,,,,maize,3,2,,None,1,2,corpse pose after yoga,2,2,,50,4,61,13,2,1,8,2,enveloping - the rhythm helped to sustain focus and reject distracting thoughts.
11164145200,250190659,11/21/2019 08:30:02 PM,11/21/2019 08:54:56 PM,,,,,,Cap10,3,2,,Muslim,1,3,,1,2,,86,14,73,13,2,34,15,2,"For someone who is not into meditating, it was difficult to focus. I felt that I became quite sleepy at the end. The voice was also a bit disturbing to me. "
